Name,Alexander,Jones,KH Odd Red Z Poly,HFK Polyomial,HOMFLY
8_8,2-6*t+9*t^2-6*t^3+2*t^4,-t^(-5)+ 2*t^(-4)-3*t^(-3)+ 4*t^(-2)-4*t^(-1)+ 5-3*t+ 2*t^2-t^3,t^(-5) q^(-10) + 2 t^(-4) q^(-8) + 3 t^(-3) q^(-6) + 4 t^(-2) q^(-4) + 4 t^(-1) q^(-2) + 5 + 3 t q^(2) + 2 t^(2) q^(4) + t^(3) q^(6),2a^(-2)m^(-2)+ 6a^(-1)m^(-1)+ 9a^(0)m^(0)+ 6a^(1)m^(1)+ 2a^(2)m^(2),(-v^(-4)+v^(-2)+2-v^2)+(-v^(-4)+2*v^(-2)+2-v^2)*z^2+(v^(-2)+1)*z^4
8_9,1-3*t+5*t^2-7*t^3+5*t^4-3*t^5+t^6,t^(-4)-2*t^(-3)+ 3*t^(-2)-4*t^(-1)+ 5-4*t+ 3*t^2-2*t^3+ t^4,t^(-4) q^(-8) + 2 t^(-3) q^(-6) + 3 t^(-2) q^(-4) + 4 t^(-1) q^(-2) + 5 + 4 t q^(2) + 3 t^(2) q^(4) + 2 t^(3) q^(6) + t^(4) q^(8),1a^(-3)m^(-3)+ 3a^(-2)m^(-2)+ 5a^(-1)m^(-1)+ 7a^(0)m^(0)+ 5a^(1)m^(1)+ 3a^(2)m^(2)+ 1a^(3)m^(3),(2*v^(-2)-3+2*v^2)+(3*v^(-2)-8+3*v^2)*z^2+(v^(-2)-5+v^2)*z^4-z^6
8_10,1-3*t+6*t^2-7*t^3+6*t^4-3*t^5+t^6,-t^(-6)+ 2*t^(-5)-4*t^(-4)+ 5*t^(-3)-4*t^(-2)+ 5*t^(-1)-3+ 2*t-t^2,t^(-5) q^(-12) + 2 t^(-4) q^(-10) + 4 t^(-3) q^(-8) + 5 t^(-2) q^(-6) + 4 t^(-1) q^(-4) + 5 q^(-2) + 3 t + 2 t^(2) q^(2) + t^(3) q^(4),1a^(-3)m^(-2)+ 3a^(-2)m^(-1)+ 6a^(-1)m^(0)+ 7a^(0)m^(1)+ 6a^(1)m^(2)+ 3a^(2)m^(3)+ 1a^(3)m^(4),(-3*v^(-4)+6*v^(-2)-2)+(-3*v^(-4)+9*v^(-2)-3)*z^2+(-v^(-4)+5*v^(-2)-1)*z^4+(v^(-2))*z^6
8_11,2-7*t+9*t^2-7*t^3+2*t^4,t^(-1)-2+ 4*t-4*t^2+ 5*t^3-5*t^4+ 3*t^5-2*t^6+ t^7,t^(-2) q^(-2) + 2 t^(-1) + 4 q^(2) + 4 t q^(4) + 5 t^(2) q^(6) + 5 t^(3) q^(8) + 3 t^(4) q^(10) + 2 t^(5) q^(12) + t^(6) q^(14),2a^(-2)m^(-3)+ 7a^(-1)m^(-2)+ 9a^(0)m^(-1)+ 7a^(1)m^(0)+ 2a^(2)m^(1),(1+v^2-2*v^4+v^6)+(1-v^2-2*v^4+v^6)*z^2+(-v^2-v^4)*z^4
8_12,1-7*t+13*t^2-7*t^3+t^4,t^(-4)-2*t^(-3)+ 4*t^(-2)-5*t^(-1)+ 5-5*t+ 4*t^2-2*t^3+ t^4,t^(-4) q^(-8) + 2 t^(-3) q^(-6) + 4 t^(-2) q^(-4) + 5 t^(-1) q^(-2) + 5 + 5 t q^(2) + 4 t^(2) q^(4) + 2 t^(3) q^(6) + t^(4) q^(8),1a^(-2)m^(-2)+ 7a^(-1)m^(-1)+ 13a^(0)m^(0)+ 7a^(1)m^(1)+ 1a^(2)m^(2),(v^(-4)-v^(-2)+1-v^2+v^4)+(-2*v^(-2)+1-2*v^2)*z^2+z^4
8_13,2-7*t+11*t^2-7*t^3+2*t^4,-t^(-5)+ 2*t^(-4)-3*t^(-3)+ 5*t^(-2)-5*t^(-1)+ 5-4*t+ 3*t^2-t^3,t^(-5) q^(-10) + 2 t^(-4) q^(-8) + 3 t^(-3) q^(-6) + 5 t^(-2) q^(-4) + 5 t^(-1) q^(-2) + 5 + 4 t q^(2) + 3 t^(2) q^(4) + t^(3) q^(6),2a^(-2)m^(-2)+ 7a^(-1)m^(-1)+ 11a^(0)m^(0)+ 7a^(1)m^(1)+ 2a^(2)m^(2),(-v^(-4)+2*v^(-2))+(-v^(-4)+2*v^(-2)+1-v^2)*z^2+(v^(-2)+1)*z^4
8_14,2-8*t+11*t^2-8*t^3+2*t^4,t^(-1)-2+ 4*t-5*t^2+ 6*t^3-5*t^4+ 4*t^5-3*t^6+ t^7,t^(-2) q^(-2) + 2 t^(-1) + 4 q^(2) + 5 t q^(4) + 6 t^(2) q^(6) + 5 t^(3) q^(8) + 4 t^(4) q^(10) + 3 t^(5) q^(12) + t^(6) q^(14),2a^(-2)m^(-3)+ 8a^(-1)m^(-2)+ 11a^(0)m^(-1)+ 8a^(1)m^(0)+ 2a^(2)m^(1),1+(1-v^2-v^4+v^6)*z^2+(-v^2-v^4)*z^4
8_15,3-8*t+11*t^2-8*t^3+3*t^4,t^2-2*t^3+ 5*t^4-5*t^5+ 6*t^6-6*t^7+ 4*t^8-3*t^9+ t^10,q^(4) + 2 t q^(6) + 5 t^(2) q^(8) + 5 t^(3) q^(10) + 6 t^(4) q^(12) + 6 t^(5) q^(14) + 4 t^(6) q^(16) + 3 t^(7) q^(18) + t^(8) q^(20),3a^(-2)m^(-4)+ 8a^(-1)m^(-3)+ 11a^(0)m^(-2)+ 8a^(1)m^(-1)+ 3a^(2)m^(0),(v^4+3*v^6-4*v^8+v^10)+(2*v^4+5*v^6-3*v^8)*z^2+(v^4+2*v^6)*z^4
8_16,1-4*t+8*t^2-9*t^3+8*t^4-4*t^5+t^6,-t^(-6)+ 3*t^(-5)-5*t^(-4)+ 6*t^(-3)-6*t^(-2)+ 6*t^(-1)-4+ 3*t-t^2,t^(-5) q^(-12) + 3 t^(-4) q^(-10) + 5 t^(-3) q^(-8) + 6 t^(-2) q^(-6) + 6 t^(-1) q^(-4) + 6 q^(-2) + 4 t + 3 t^(2) q^(2) + t^(3) q^(4),1a^(-3)m^(-2)+ 4a^(-2)m^(-1)+ 8a^(-1)m^(0)+ 9a^(0)m^(1)+ 8a^(1)m^(2)+ 4a^(2)m^(3)+ 1a^(3)m^(4),(-v^(-4)+2*v^(-2))+(-2*v^(-4)+5*v^(-2)-2)*z^2+(-v^(-4)+4*v^(-2)-1)*z^4+(v^(-2))*z^6
8_17,1-4*t+8*t^2-11*t^3+8*t^4-4*t^5+t^6,t^(-4)-3*t^(-3)+ 5*t^(-2)-6*t^(-1)+ 7-6*t+ 5*t^2-3*t^3+ t^4,t^(-4) q^(-8) + 3 t^(-3) q^(-6) + 5 t^(-2) q^(-4) + 6 t^(-1) q^(-2) + 7 + 6 t q^(2) + 5 t^(2) q^(4) + 3 t^(3) q^(6) + t^(4) q^(8),1a^(-3)m^(-3)+ 4a^(-2)m^(-2)+ 8a^(-1)m^(-1)+ 11a^(0)m^(0)+ 8a^(1)m^(1)+ 4a^(2)m^(2)+ 1a^(3)m^(3),(v^(-2)-1+v^2)+(2*v^(-2)-5+2*v^2)*z^2+(v^(-2)-4+v^2)*z^4-z^6
