knot_id,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16
12n_735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-4,7,-9,11,-11,10,-8,5,-3,1,0,0,0,0,0
12n_736,0,0,0,0,1,-5,11,-18,23,-25,25,-20,14,-7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_737,0,0,0,0,0,0,0,0,0,0,0,1,-2,3,-5,7,-6,7,-6,4,-3,1,0,0,0,0,0,0,0,0
12n_738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-6,13,-17,21,-22,19,-15,9,-4,1,0,0,0,0
12n_739,0,0,0,0,1,-2,1,0,-1,2,-3,4,-3,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_740,0,0,0,0,0,0,0,1,-4,9,-13,16,-18,17,-13,9,-4,1,0,0,0,0,0,0,0,0,0,0,0,0
12n_741,0,0,0,0,0,-1,3,-7,11,-14,16,-15,13,-8,5,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_742,0,0,0,-1,4,-8,11,-14,15,-14,12,-7,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_743,0,0,0,0,0,0,-1,3,-6,9,-12,14,-13,12,-8,5,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_744,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,7,-9,11,-12,11,-8,5,-2,0,0,0,0,0,0,0
12n_745,0,0,0,0,0,0,0,0,-2,6,-11,17,-20,21,-19,15,-9,4,-1,0,0,0,0,0,0,0,0,0,0,0
12n_746,0,0,0,0,0,-2,6,-11,16,-19,20,-18,14,-8,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_747,0,0,-1,4,-8,12,-16,17,-16,13,-8,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_748,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,7,-10,13,-13,12,-10,6,-3,1,0,0,0,0,0,0,0
12n_749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,1,-1,1,-1,0,0,0,0,0,0
12n_750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,3,-4,3,-4,3,-2,1,0,0,0,0
12n_751,0,0,0,0,0,0,0,0,0,0,-1,3,-6,9,-10,12,-10,8,-6,3,-1,0,0,0,0,0,0,0,0,0
12n_752,0,0,0,0,0,0,0,0,0,0,0,-1,4,-7,11,-14,15,-13,11,-7,3,-1,0,0,0,0,0,0,0,0
12n_753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-5,11,-14,17,-18,15,-12,7,-3,1,0,0,0,0
12n_754,0,0,0,0,0,0,0,0,-1,4,-8,12,-16,18,-16,14,-9,5,-2,0,0,0,0,0,0,0,0,0,0,0
