Name,Fibered,Crossing Number,Unknotting Number,Genus-3D,Crosscap Number,Bridge Index,Braid Index,Braid Length,Signature,Thurston-Bennequin Number,Arc Index,Stick Number,Tunnel Number,Jones (vector),Genus-4D,Genus-4D (Top.),Determinant,Rasmussen s,Ozsvath-Szabo tau,Arf Invariant,Turaev Genus,Clasp Number,L-space,Epsilon,Quasialternating,Almost Alternating,Adequate,Unknotting Number-Algebraic,Ropelength
11a_79,Y,11,2,4,5,3,4,11,2,[-10][-3],13,[9;11],2,{-8; 3; -1; 4; -9; 15; -20; 23; -23; 20; -14; 9; -4; 1},1,1,143,-2,-1,0,0,,No,-1,Y,N,Y,1,99.646693
11a_80,Y,11,1,4,5,3,4,11,0,[-7][-6],13,[9;11],2,{-6; 5; 1; -4; 9; -14; 19; -22; 22; -19; 14; -8; 4; -1},1,1,137,0,0,0,0,,No,0,Y,N,Y,1,99.445389
11a_81,Y,11,2,4,4,3,4,11,-2,[-4][-9],13,[9;11],2,{-4; 7; -1; 4; -8; 13; -17; 20; -20; 18; -13; 8; -4; 1},1,1,127,2,1,0,0,,No,1,Y,N,Y,1,98.393533
11a_82,Y,11,1,4,4,3,4,11,2,[-9][-4],13,,1,{-7; 4; 1; -3; 6; -10; 13; -15; 15; -12; 10; -6; 3; -1},1,1,95,-2,-1,0,0,,No,-1,Y,N,Y,1,95.941338
11a_83,Y,11,[2;3],4,4,3,4,11,-4,[0][-13],13,,1,{-1; 10; -1; 3; -6; 11; -14; 18; -18; 16; -13; 8; -4; 1},2,2,113,4,2,0,0,,No,1,Y,N,Y,2,97.770747
11a_84,N,11,2,3,5,2,5,12,0,[-7][-6],13,,1,{-6; 5; 1; -3; 6; -10; 14; -16; 16; -14; 11; -6; 3; -1},1,1,101,0,0,1,0,,No,0,Y,N,Y,1,97.70117
11a_85,N,11,2,3,5,2,5,12,-2,[-2][-11],13,,1,{-2; 9; -1; 3; -6; 11; -14; 17; -17; 15; -11; 7; -4; 1},1,1,107,2,1,1,0,,No,1,Y,N,Y,1,96.862679
11a_86,Y,11,1,4,4,3,4,11,-2,[-4][-9],13,,2,{-4; 7; -1; 3; -5; 9; -12; 14; -14; 13; -10; 6; -3; 1},1,1,91,2,1,1,0,,No,1,Y,N,Y,1,97.779214
11a_87,N,11,2,3,5,3,5,14,0,[-6][-7],13,,2,{-5; 6; -1; 4; -8; 13; -17; 20; -19; 16; -12; 7; -3; 1},0,0,121,0,0,0,0,,No,0,Y,N,Y,2,97.766448
11a_88,Y,11,1,4,4,3,4,11,0,[-7][-6],13,,2,{-6; 5; 1; -3; 6; -10; 14; -16; 16; -14; 11; -6; 3; -1},1,1,101,0,0,1,0,,No,0,Y,N,Y,1,97.959895
11a_89,N,11,2,3,5,2,5,12,-2,[-3][-10],13,[9;12],1,{-3; 8; 1; -3; 7; -11; 16; -19; 19; -17; 13; -8; 4; -1},1,1,119,2,1,0,0,,No,1,Y,N,Y,2,96.582898
11a_90,N,11,2,3,4,2,5,12,2,[-9][-4],13,[9;12],1,{-7; 4; 1; -3; 6; -9; 12; -14; 13; -11; 9; -5; 3; -1},1,1,87,-2,-1,0,0,,No,-1,Y,N,Y,2,95.642768
