knot_id,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
12a_1039,1,-7,17,-27,33,-27,17,-7,1,0,0
12a_1040,2,-13,27,-31,27,-13,2,0,0,0,0
12a_1041,2,-12,33,-54,63,-54,33,-12,2,0,0
12a_1042,2,-11,30,-52,63,-52,30,-11,2,0,0
12a_1043,4,-21,48,-61,48,-21,4,0,0,0,0
12a_1044,3,-18,46,-61,46,-18,3,0,0,0,0
12a_1045,1,-8,22,-32,35,-32,22,-8,1,0,0
12a_1046,2,-17,49,-67,49,-17,2,0,0,0,0
12a_1047,1,-4,10,-18,25,-27,25,-18,10,-4,1
12a_1048,2,-9,23,-40,49,-40,23,-9,2,0,0
12a_1049,1,-9,27,-45,51,-45,27,-9,1,0,0
12a_1050,1,-8,29,-63,83,-63,29,-8,1,0,0
12a_1051,1,-4,9,-15,18,-19,18,-15,9,-4,1
12a_1052,2,-9,22,-38,45,-38,22,-9,2,0,0
12a_1053,2,-10,27,-48,59,-48,27,-10,2,0,0
12a_1054,1,-9,28,-48,55,-48,28,-9,1,0,0
12a_1055,2,-17,50,-71,50,-17,2,0,0,0,0
12a_1056,2,-10,28,-52,63,-52,28,-10,2,0,0
12a_1057,3,-22,59,-81,59,-22,3,0,0,0,0
12a_1058,2,-18,53,-75,53,-18,2,0,0,0,0
12a_1059,2,-10,23,-36,41,-36,23,-10,2,0,0
12a_1060,2,-9,22,-37,43,-37,22,-9,2,0,0
12a_1061,2,-11,31,-56,67,-56,31,-11,2,0,0
12a_1062,3,-15,32,-41,32,-15,3,0,0,0,0
12a_1063,3,-12,24,-31,24,-12,3,0,0,0,0
12a_1064,2,-9,21,-33,37,-33,21,-9,2,0,0
12a_1065,1,-8,31,-67,87,-67,31,-8,1,0,0
12a_1066,2,-8,19,-33,39,-33,19,-8,2,0,0
12a_1067,1,-8,30,-61,75,-61,30,-8,1,0,0
12a_1068,4,-16,32,-41,32,-16,4,0,0,0,0
12a_1069,2,-19,57,-79,57,-19,2,0,0,0,0
12a_1070,1,-8,29,-58,71,-58,29,-8,1,0,0
12a_1071,2,-10,26,-46,55,-46,26,-10,2,0,0
12a_1072,2,-11,30,-49,57,-49,30,-11,2,0,0
12a_1073,4,-22,49,-63,49,-22,4,0,0,0,0
12a_1074,1,-8,24,-40,47,-40,24,-8,1,0,0
12a_1075,4,-19,41,-53,41,-19,4,0,0,0,0
12a_1076,1,-8,29,-60,77,-60,29,-8,1,0,0
12a_1077,3,-16,40,-53,40,-16,3,0,0,0,0
12a_1078,2,-11,32,-58,71,-58,32,-11,2,0,0
12a_1079,2,-11,31,-56,67,-56,31,-11,2,0,0
12a_1080,1,-8,24,-42,51,-42,24,-8,1,0,0
12a_1081,1,-8,25,-46,57,-46,25,-8,1,0,0
12a_1082,1,-8,23,-38,45,-38,23,-8,1,0,0
12a_1083,2,-9,21,-33,39,-33,21,-9,2,0,0
12a_1084,1,-8,20,-28,31,-28,20,-8,1,0,0
12a_1085,2,-17,45,-59,45,-17,2,0,0,0,0
12a_1086,4,-20,46,-59,46,-20,4,0,0,0,0
12a_1087,1,-8,25,-48,61,-48,25,-8,1,0,0
12a_1088,1,-9,29,-54,67,-54,29,-9,1,0,0
12a_1089,1,-8,21,-31,35,-31,21,-8,1,0,0
12a_1090,2,-16,42,-55,42,-16,2,0,0,0,0
12a_1091,2,-10,27,-49,61,-49,27,-10,2,0,0
12a_1092,1,-9,29,-52,61,-52,29,-9,1,0,0
12a_1093,1,-8,25,-44,51,-44,25,-8,1,0,0
12a_1094,2,-14,35,-45,35,-14,2,0,0,0,0
12a_1095,3,-12,22,-25,22,-12,3,0,0,0,0
12a_1096,1,-8,29,-60,75,-60,29,-8,1,0,0
12a_1097,16,-54,77,-54,16,0,0,0,0,0,0
12a_1098,5,-29,68,-89,68,-29,5,0,0,0,0
12a_1099,2,-10,27,-44,51,-44,27,-10,2,0,0
12a_1100,2,-11,31,-54,65,-54,31,-11,2,0,0
12a_1101,2,-11,30,-48,55,-48,30,-11,2,0,0
12a_1102,1,-8,30,-68,91,-68,30,-8,1,0,0
12a_1103,4,-19,45,-59,45,-19,4,0,0,0,0
12a_1104,1,-8,25,-46,55,-46,25,-8,1,0,0
12a_1105,1,-8,30,-64,83,-64,30,-8,1,0,0
12a_1106,3,-18,48,-67,48,-18,3,0,0,0,0
12a_1107,2,-8,16,-20,21,-20,16,-8,2,0,0
12a_1108,4,-17,35,-43,35,-17,4,0,0,0,0
12a_1109,2,-11,29,-51,61,-51,29,-11,2,0,0
12a_1110,5,-27,66,-87,66,-27,5,0,0,0,0
12a_1111,2,-11,27,-41,45,-41,27,-11,2,0,0
12a_1112,8,-27,46,-53,46,-27,8,0,0,0,0
12a_1113,15,-51,73,-51,15,0,0,0,0,0,0
12a_1114,1,-4,9,-12,14,-15,14,-12,9,-4,1
12a_1115,2,-9,22,-32,35,-32,22,-9,2,0,0
12a_1116,2,-9,23,-37,43,-37,23,-9,2,0,0
12a_1117,4,-26,64,-85,64,-26,4,0,0,0,0
12a_1118,3,-12,26,-33,26,-12,3,0,0,0,0
12a_1119,2,-9,21,-33,39,-33,21,-9,2,0,0
12a_1120,1,-4,9,-14,18,-19,18,-14,9,-4,1
12a_1121,2,-9,22,-36,43,-36,22,-9,2,0,0
12a_1122,1,-8,30,-63,81,-63,30,-8,1,0,0
12a_1123,1,-9,30,-56,69,-56,30,-9,1,0,0
12a_1124,1,-13,50,-77,50,-13,1,0,0,0,0
12a_1125,4,-14,21,-23,21,-14,4,0,0,0,0
12a_1126,8,-30,43,-30,8,0,0,0,0,0,0
12a_1127,4,-24,41,-24,4,0,0,0,0,0,0
12a_1128,1,-3,5,-7,9,-9,9,-7,5,-3,1
12a_1129,2,-7,13,-19,23,-19,13,-7,2,0,0
12a_1130,2,-8,16,-23,27,-23,16,-8,2,0,0
12a_1131,2,-7,11,-11,11,-11,11,-7,2,0,0
12a_1132,4,-16,29,-33,29,-16,4,0,0,0,0
12a_1133,4,-18,36,-43,36,-18,4,0,0,0,0
12a_1134,1,-3,5,-7,7,-7,7,-7,5,-3,1
12a_1135,2,-7,13,-19,21,-19,13,-7,2,0,0
12a_1136,2,-8,18,-29,33,-29,18,-8,2,0,0
12a_1137,4,-16,31,-39,31,-16,4,0,0,0,0
12a_1138,3,-11,17,-17,17,-11,3,0,0,0,0
12a_1139,6,-25,39,-25,6,0,0,0,0,0,0
12a_1140,3,-11,21,-27,21,-11,3,0,0,0,0
12a_1141,1,-8,22,-34,37,-34,22,-8,1,0,0
12a_1142,4,-14,21,-21,21,-14,4,0,0,0,0
12a_1143,2,-17,49,-69,49,-17,2,0,0,0,0
12a_1144,8,-32,49,-32,8,0,0,0,0,0,0
12a_1145,2,-6,10,-14,15,-14,10,-6,2,0,0
12a_1146,4,-14,25,-31,25,-14,4,0,0,0,0
12a_1147,2,-7,15,-24,27,-24,15,-7,2,0,0
12a_1148,3,-9,15,-19,15,-9,3,0,0,0,0
12a_1149,4,-9,9,-9,4,0,0,0,0,0,0
12a_1150,1,-8,23,-41,51,-41,23,-8,1,0,0
12a_1151,2,-14,32,-39,32,-14,2,0,0,0,0
12a_1152,1,-9,34,-72,93,-72,34,-9,1,0,0
12a_1153,1,-8,20,-26,27,-26,20,-8,1,0,0
12a_1154,2,-17,47,-63,47,-17,2,0,0,0,0
12a_1155,5,-28,63,-81,63,-28,5,0,0,0,0
12a_1156,1,-8,25,-43,51,-43,25,-8,1,0,0
12a_1157,2,-5,5,-5,5,-5,5,-5,2,0,0
12a_1158,4,-12,15,-15,15,-12,4,0,0,0,0
12a_1159,4,-14,24,-29,24,-14,4,0,0,0,0
12a_1160,8,-28,39,-28,8,0,0,0,0,0,0
12a_1161,6,-19,25,-19,6,0,0,0,0,0,0
12a_1162,4,-11,13,-13,13,-11,4,0,0,0,0
12a_1163,8,-26,35,-26,8,0,0,0,0,0,0
12a_1164,4,-13,22,-27,22,-13,4,0,0,0,0
12a_1165,6,-17,21,-17,6,0,0,0,0,0,0
12a_1166,8,-17,8,0,0,0,0,0,0,0,0
12a_1167,1,-10,35,-68,85,-68,35,-10,1,0,0
12a_1168,1,-4,10,-19,28,-31,28,-19,10,-4,1
12a_1169,2,-8,17,-26,31,-26,17,-8,2,0,0
12a_1170,2,-8,18,-30,37,-30,18,-8,2,0,0
12a_1171,4,-15,25,-27,25,-15,4,0,0,0,0
12a_1172,2,-10,26,-45,55,-45,26,-10,2,0,0
12a_1173,3,-21,55,-73,55,-21,3,0,0,0,0
12a_1174,2,-8,18,-28,33,-28,18,-8,2,0,0
12a_1175,2,-10,26,-46,55,-46,26,-10,2,0,0
12a_1176,1,-4,9,-15,20,-21,20,-15,9,-4,1
12a_1177,2,-9,22,-38,47,-38,22,-9,2,0,0
12a_1178,2,-9,20,-31,37,-31,20,-9,2,0,0
12a_1179,3,-12,20,-21,20,-12,3,0,0,0,0
12a_1180,2,-8,19,-33,41,-33,19,-8,2,0,0
12a_1181,4,-16,30,-35,30,-16,4,0,0,0,0
12a_1182,2,-9,22,-38,45,-38,22,-9,2,0,0
12a_1183,4,-15,26,-31,26,-15,4,0,0,0,0
12a_1184,2,-10,24,-34,37,-34,24,-10,2,0,0
12a_1185,4,-22,55,-73,55,-22,4,0,0,0,0
12a_1186,2,-11,30,-50,59,-50,30,-11,2,0,0
12a_1187,2,-12,35,-64,77,-64,35,-12,2,0,0
12a_1188,1,-9,36,-79,103,-79,36,-9,1,0,0
12a_1189,4,-24,63,-85,63,-24,4,0,0,0,0
12a_1190,1,-9,31,-61,75,-61,31,-9,1,0,0
12a_1191,1,-5,12,-20,25,-27,25,-20,12,-5,1
12a_1192,2,-11,28,-46,53,-46,28,-11,2,0,0
12a_1193,2,-13,38,-68,81,-68,38,-13,2,0,0
12a_1194,2,-10,23,-34,37,-34,23,-10,2,0,0
12a_1195,1,-9,29,-51,59,-51,29,-9,1,0,0
12a_1196,2,-13,36,-61,73,-61,36,-13,2,0,0
12a_1197,2,-11,29,-48,57,-48,29,-11,2,0,0
12a_1198,4,-22,52,-67,52,-22,4,0,0,0,0
12a_1199,1,-5,13,-23,32,-37,32,-23,13,-5,1
12a_1200,2,-10,25,-39,43,-39,25,-10,2,0,0
12a_1201,2,-10,26,-43,51,-43,26,-10,2,0,0
12a_1202,9,-42,67,-42,9,0,0,0,0,0,0
12a_1203,1,-4,10,-18,25,-27,25,-18,10,-4,1
12a_1204,2,-8,18,-29,35,-29,18,-8,2,0,0
